    0.7500    6.3280    9.2660    6.3280 AT RES 123
    1.1250    5.6250    9.6880    5.6250
    0.7810    4.8280    9.3280    4.8280
    1.2970    4.0780    9.8280    4.0780
    1.2030    3.4530    9.6720    3.4530
    1.7810    2.5620   10.2030    2.5620
    2.5940    2.6410   10.5930    2.6410
    2.4380    1.6250   10.8120    1.6250
    3.3120    1.6250   11.7190    1.6250
    3.9840    2.2660   12.3280    2.2660
    3.5620    3.2660   11.9840    3.2660
    4.0940    3.9380   12.5310    3.9380
    4.0470    4.6250   12.5320    4.6250
    4.1560    5.4220   12.6250    5.4220
    4.8280    5.3120   13.3590    5.3120
    5.1880    4.8750   13.6560    4.8750
    5.1410    4.0620   13.6090    4.0620
    4.6410    3.3750   13.0620    3.3750
    3.7190    3.4380   12.2190    3.4380
    3.8910    2.7660   12.4220    2.7660
    2.9690    2.5940   11.5310    2.5940
    2.6250    1.9060   11.5310    1.9060
    2.0620    1.7340   10.5620    1.7340
    1.8440    2.0000   10.3750    2.0000
    1.7810    2.3590   10.2660    2.3590
    2.5940    2.7660   11.0780    2.7660
    2.5160    3.6250   11.0470    3.6250
    1.9530    4.4530   10.4840    4.4530
    2.0000    4.9060   10.5000    4.9060
    1.6560    5.7810   10.1410    5.7810
    0.7810    5.7500    9.2500    5.7500
    0.8750    6.5780    9.3120    6.5780
    1.7970    7.0000   10.2180    7.0000
    2.0470    5.9380   10.4530    5.9380
    2.7810    5.7030   11.2030    5.7030
    2.9060    4.9530   11.3750    4.9530
    3.2190    4.3910   11.7970    4.3910
    2.8750    4.7190   11.4840    4.7190
    2.9690    4.4690   11.5620    4.4690
    3.1880    4.6880   11.7500    4.6880
    3.5160    5.1250   12.2030    5.1250
    2.7030    5.7340   11.3440    5.7340
    3.5160    6.4220   12.2190    6.4220
    3.0310    6.8120   11.6250    6.8120
    3.3280    7.5620   11.9220    7.5620
    2.4220    7.6090   11.0000    7.6090
    3.0940    7.9840   11.5780    7.9840
